OBJECTID,JOIN_FID,INCIDENT,FIRE_YEARn,GISAcres,TotalObservations,year,month,day,individualCount,species,verbatimScientificName,collectionCode
171,1313,Dome,2020,44211.08459,125,2015,5,25,1,Colaptes chrysoides,Colaptes chrysoides,EBIRD
172,1316,Del Puerto,2020,390647.2556,15,2016,5,15,4,Agelaius tricolor,Agelaius tricolor,EBIRD
173,1099,BROWN,2008,3786.915,3,2016,2,28,NA,Agelaius tricolor,Agelaius tricolor,Observations
174,380,MOFFAT,2018,1253.925,3,2002,6,25,NA,Buteo swainsoni,Buteo swainsoni,PRBO-PC
175,361,RIVER,2013,406.8415,1,2002,6,10,NA,Empidonax traillii,Empidonax traillii,PRBO-PC
176,643,Old,2003,91428,6,2018,5,22,NA,Anaxyrus californicus,Anaxyrus californicus,Observations
177,1313,Dome,2020,44211.08459,125,2015,5,25,1,Colaptes chrysoides,Colaptes chrysoides,EBIRD
178,1314,Bobcat,2020,115997.5701,9,2019,5,24,1,Agelaius tricolor,Agelaius tricolor,EBIRD
179,319,TECOPA,2010,105.7345,17,2008,5,29,NA,Empidonax traillii,Empidonax traillii,EBIRD
180,427,Tecopa,2010,105.7341,17,2008,5,29,NA,Empidonax traillii,Empidonax traillii,EBIRD
181,1313,Dome,2020,44211.08459,125,2018,5,26,NA,Colaptes chrysoides,Colaptes chrysoides,Observations
182,1313,Dome,2020,44211.08459,125,2000,7,4,1,Colaptes chrysoides,Colaptes chrysoides,EBIRD
183,89,INDIAN 2,2005,188.7452,1,2020,2,21,NA,Uma inornata,Uma inornata,Observations
184,410,Whitewater,2012,136.8991,1,2012,12,21,NA,Ovis canadensis,Ovis canadensis nelsoni,Observations
185,636,Blaisdell,2005,5491.788,2,2012,12,21,NA,Ovis canadensis,Ovis canadensis nelsoni,Observations
186,707,Wildhorse,2005,63771.3,31,2019,10,13,NA,Danaus plexippus,Danaus plexippus,Observations
187,93,VERBENIA,2004,3831.371,2,2009,11,26,NA,Ovis canadensis,Ovis canadensis nelsoni,Observations
