OBJECTID,JOIN_FID,INCIDENT,FIRE_YEARn,GISAcres,TotalBird,year,month,day,individualCount,genus,specificEpithet,species,vernacularName,collectionCode
135,99,R I V E R,2013,406.8415,302,2002,6,10,NA,Corvus,corax,Corvus corax,NA,PRBO-PC
136,99,R I V E R,2013,406.8415,302,2005,6,24,NA,Corvus,corax,Corvus corax,NA,PRBO-PC
137,118,M O F F A T,2018,1253.925,1323,2005,6,13,NA,Ardea,herodias,Ardea herodias,NA,PRBO-PC
138,118,M O F F A T,2018,1253.925,1323,2002,5,26,NA,Bombycilla,cedrorum,Bombycilla cedrorum,NA,PRBO-PC
139,118,M O F F A T,2018,1253.925,1323,2002,6,11,NA,Euphagus,cyanocephalus,Euphagus cyanocephalus,NA,PRBO-PC
140,118,M O F F A T,2018,1253.925,1323,2002,6,11,NA,Euphagus,cyanocephalus,Euphagus cyanocephalus,NA,PRBO-PC
141,118,M O F F A T,2018,1253.925,1323,2005,6,13,NA,Euphagus,cyanocephalus,Euphagus cyanocephalus,NA,PRBO-PC
142,118,M O F F A T,2018,1253.925,1323,2005,6,6,NA,Falco,sparverius,Falco sparverius,NA,PRBO-PC
143,118,M O F F A T,2018,1253.925,1323,2002,6,27,NA,Geothlypis,trichas,Geothlypis trichas,NA,PRBO-PC
144,118,M O F F A T,2018,1253.925,1323,2005,6,26,NA,Geothlypis,trichas,Geothlypis trichas,NA,PRBO-PC
145,118,M O F F A T,2018,1253.925,1323,2005,6,13,NA,Geothlypis,trichas,Geothlypis trichas,NA,PRBO-PC
146,118,M O F F A T,2018,1253.925,1323,2003,6,7,NA,Geothlypis,trichas,Geothlypis trichas,NA,PRBO-PC
147,118,M O F F A T,2018,1253.925,1323,2005,6,6,NA,Geothlypis,trichas,Geothlypis trichas,NA,PRBO-PC
148,99,R I V E R,2013,406.8415,302,2002,6,26,NA,Geothlypis,trichas,Geothlypis trichas,NA,PRBO-PC
149,118,M O F F A T,2018,1253.925,1323,2005,6,13,NA,Haemorhous,mexicanus,Haemorhous mexicanus,NA,PRBO-PC
150,118,M O F F A T,2018,1253.925,1323,2002,6,27,NA,NA,NA,NA,NA,PRBO-PC
151,118,M O F F A T,2018,1253.925,1323,2002,6,11,NA,NA,NA,NA,NA,PRBO-PC
152,118,M O F F A T,2018,1253.925,1323,2005,6,26,NA,Lanius,ludovicianus,Lanius ludovicianus,NA,PRBO-PC
153,118,M O F F A T,2018,1253.925,1323,2003,6,7,NA,Lanius,ludovicianus,Lanius ludovicianus,NA,PRBO-PC
154,118,M O F F A T,2018,1253.925,1323,2005,6,13,NA,Chordeiles,minor,Chordeiles minor,NA,PRBO-PC
155,118,M O F F A T,2018,1253.925,1323,2002,5,26,NA,Cistothorus,palustris,Cistothorus palustris,NA,PRBO-PC
156,118,M O F F A T,2018,1253.925,1323,2002,6,27,NA,Cistothorus,palustris,Cistothorus palustris,NA,PRBO-PC
157,118,M O F F A T,2018,1253.925,1323,2005,6,26,NA,Melospiza,melodia,Melospiza melodia,NA,PRBO-PC
158,118,M O F F A T,2018,1253.925,1323,2005,6,26,NA,Melospiza,melodia,Melospiza melodia,NA,PRBO-PC
159,118,M O F F A T,2018,1253.925,1323,2002,5,26,NA,Melospiza,melodia,Melospiza melodia,NA,PRBO-PC
160,99,R I V E R,2013,406.8415,302,2005,6,24,NA,Melospiza,melodia,Melospiza melodia,NA,PRBO-PC
161,118,M O F F A T,2018,1253.925,1323,2003,5,26,NA,Colaptes,auratus,Colaptes auratus,NA,PRBO-PC
162,118,M O F F A T,2018,1253.925,1323,2002,6,11,NA,Colaptes,auratus,Colaptes auratus,NA,PRBO-PC
163,99,R I V E R,2013,406.8415,302,2002,5,25,NA,Corvus,corax,Corvus corax,NA,PRBO-PC
164,118,M O F F A T,2018,1253.925,1323,2003,6,27,NA,Mimus,polyglottos,Mimus polyglottos,NA,PRBO-PC
165,118,M O F F A T,2018,1253.925,1323,2003,6,7,NA,Mimus,polyglottos,Mimus polyglottos,NA,PRBO-PC
166,118,M O F F A T,2018,1253.925,1323,2003,5,26,NA,Mimus,polyglottos,Mimus polyglottos,NA,PRBO-PC
167,118,M O F F A T,2018,1253.925,1323,2003,5,26,NA,Molothrus,ater,Molothrus ater,NA,PRBO-PC
168,118,M O F F A T,2018,1253.925,1323,2002,5,26,NA,Molothrus,ater,Molothrus ater,NA,PRBO-PC
169,118,M O F F A T,2018,1253.925,1323,2003,5,26,NA,Molothrus,ater,Molothrus ater,NA,PRBO-PC
170,99,R I V E R,2013,406.8415,302,2002,6,26,NA,Molothrus,ater,Molothrus ater,NA,PRBO-PC
171,118,M O F F A T,2018,1253.925,1323,2005,6,26,NA,Myiarchus,cinerascens,Myiarchus cinerascens,NA,PRBO-PC
172,118,M O F F A T,2018,1253.925,1323,2005,6,26,NA,Myiarchus,cinerascens,Myiarchus cinerascens,NA,PRBO-PC
173,118,M O F F A T,2018,1253.925,1323,2002,6,27,NA,Myiarchus,cinerascens,Myiarchus cinerascens,NA,PRBO-PC
174,118,M O F F A T,2018,1253.925,1323,2005,6,26,NA,Falco,sparverius,Falco sparverius,NA,PRBO-PC
175,118,M O F F A T,2018,1253.925,1323,2005,6,26,NA,Euphagus,cyanocephalus,Euphagus cyanocephalus,NA,PRBO-PC
176,118,M O F F A T,2018,1253.925,1323,2005,6,13,NA,Falco,sparverius,Falco sparverius,NA,PRBO-PC
177,118,M O F F A T,2018,1253.925,1323,2002,6,27,NA,Geothlypis,trichas,Geothlypis trichas,NA,PRBO-PC
178,118,M O F F A T,2018,1253.925,1323,2003,5,26,NA,Geothlypis,trichas,Geothlypis trichas,NA,PRBO-PC
179,118,M O F F A T,2018,1253.925,1323,2002,6,27,NA,Geothlypis,trichas,Geothlypis trichas,NA,PRBO-PC
180,118,M O F F A T,2018,1253.925,1323,2005,6,26,NA,Geothlypis,trichas,Geothlypis trichas,NA,PRBO-PC
181,118,M O F F A T,2018,1253.925,1323,2002,5,26,NA,Geothlypis,trichas,Geothlypis trichas,NA,PRBO-PC
182,118,M O F F A T,2018,1253.925,1323,2005,6,13,NA,Geothlypis,trichas,Geothlypis trichas,NA,PRBO-PC
183,99,R I V E R,2013,406.8415,302,2002,6,26,NA,Geothlypis,trichas,Geothlypis trichas,NA,PRBO-PC
184,99,R I V E R,2013,406.8415,302,2005,6,24,NA,Geothlypis,trichas,Geothlypis trichas,NA,PRBO-PC
185,118,M O F F A T,2018,1253.925,1323,2002,6,27,NA,NA,NA,NA,NA,PRBO-PC
186,118,M O F F A T,2018,1253.925,1323,2002,6,27,NA,Lanius,ludovicianus,Lanius ludovicianus,NA,PRBO-PC
187,118,M O F F A T,2018,1253.925,1323,2005,6,13,NA,Pica,pica,Pica hudsonia,NA,PRBO-PC
188,99,R I V E R,2013,406.8415,302,2005,6,24,NA,Picoides,nuttallii,Picoides nuttallii,NA,PRBO-PC
189,118,M O F F A T,2018,1253.925,1323,2005,6,13,NA,Melospiza,melodia,Melospiza melodia,NA,PRBO-PC
